Canada	Country
BlurredVison	EndPointDescription
SdDevNumAffected	SdDeviation
PValueChangeValue	PValue
SymptomaticHypoglycemia	EndPointDescription
Multicenter	CTDesign
FixedCombDrug	Drug
Acetazolamide	Drug
MaxAge	Age
Switzerland	Country
Reduction	ChangeValue
Levobetaxolol	Drug
FinalNumPatientsCT	NumberPatients
Argentina	Country
Brinzolamide	Drug
AggregByNumParticip	AggregationMethod
ConfIntervalNumAffected	ConfInterval
MinAge	Age
LisproProtamine	Drug
SdDevBL	SdDeviation
SdErrorBL	SdError
PressureUnit	BioAndMedicalUnit
NumPatientsLeftCT	NumberPatients
IsophaneInsulin_NPH	Drug
IOP	EndPointDescription
Gemigliptin	Drug
Corneal_PPE	EndPointDescription
Type2Diabetes	DisorderOrSyndrome
Tafluprost	Drug
Nanogram_per_milliliter	BioAndMedicalUnit
WeightReduction	EndPointDescription
Glipizide	Drug
SingleCenter	CTDesign
Parallel	CTDesign
Spain	Country
Semaglutide	Drug
Netherlands	Country
ChangeBloodVelocity	EndPointDescription
Hypoglycemia	EndPointDescription
IntramuscularInjection	DeliveryMethod
PreprandialPlasmaGlucose	EndPointDescription
SdDevResValue	SdDeviation
Lispro50/50	Drug
BMI	EndPointDescription
SubcutaneousInjection	DeliveryMethod
Fructosamine	EndPointDescription
ConfIntervalChangeValue	ConfInterval
InsulinDose	EndPointDescription
IncreasedPigmentation	EndPointDescription
Lispro75/25	Drug
NumberAffected	NumberPatients
OcularBloodFlow	EndPointDescription
Travoprost	Drug
Day	BioAndMedicalUnit
Rosiglitazone	Drug
Topic	DeliveryMethod
Randomized	CTDesign
Female	Gender
PostprandialBloodGlucose	EndPointDescription
Nausea	EndPointDescription
Microgram	BioAndMedicalUnit
Turkey	Country
DiffGroupAbsValue	DiffGroupValues
Ireland	Country
India	Country
Sitagliptin	Drug
InsulinGlulisine	Drug
France	Country
Empagliflozin	Drug
Albiglutide	Drug
Peru	Country
SdDevChangeValue	SdDeviation
Percentage	BioAndMedicalUnit
Timolol	Drug
Levobunolol	Drug
Glyburide	Drug
Headache	EndPointDescription
SdErrorChangeValue	SdError
Mg_per_deciliter	BioAndMedicalUnit
Fluorouracil	Drug
Primary_AngleClosureGlaucoma	DisorderOrSyndrome
Singapore	Country
NumPatientsLeftArm	NumberPatients
Latanoprost	Drug
Pilocarpine	Drug
China	Country
Pilo/TimFC	Drug
Micromole_per_litre	BioAndMedicalUnit
ReducedHeartRate	EndPointDescription
Millimoles_per_mole	BioAndMedicalUnit
InsulinAspart	Drug
Minute	BioAndMedicalUnit
Taspoglutide	Drug
MassUnit	BioAndMedicalUnit
NormalTensionGlaucoma	DisorderOrSyndrome
PancreatitisRisk	EndPointDescription
Hour	BioAndMedicalUnit
Peak_Trough_IOP	EndPointDescription
Finland	Country
RelNumPatientsLeftArm	PercentagePatients
Bimatoprost	Drug
ConfIntervalBL	ConfInterval
Sweden	Country
Evening	RelativeTime
ConfIntervalResValue	ConfInterval
IntravenousInjection	DeliveryMethod
Picomole_per_liter	BioAndMedicalUnit
HbA1c_target	EndPointDescription
Placebo	Drug
ConcentrationUnit	BioAndMedicalUnit
PreprandialBloodGlucose	EndPointDescription
ProstaglandinAnalogs	Drug
Blind	CTDesign
Prospective	CTDesign
Croatia	Country
ConjunctivalHyperemia	EndPointDescription
MicroMole	BioAndMedicalUnit
Brinz/BrimoFC	Drug
Primary_OpenAngleGlaucoma	DisorderOrSyndrome
Repaglinide	Drug
InsulinGlargine	Drug
Month	BioAndMedicalUnit
Outflow_Facility_C	EndPointDescription
DensityUnit	BioAndMedicalUnit
Austria	Country
Diurnal_IOP	EndPointDescription
Latanoprostene_Bunod	Drug
Uganda	Country
FastingBloodGlucose	EndPointDescription
Nanomol_per_litre	BioAndMedicalUnit
Japan	Country
PlasmaGlucose	EndPointDescription
Smarting	EndPointDescription
Insulin	Drug
Brazil	Country
NocturnalHypoglycemia	EndPointDescription
GastrointestinalProblem	EndPointDescription
Noninferiority	CTDesign
IrisPigmentation	EndPointDescription
PercentageAffected	PercentagePatients
RelNumPatientsLeftCT	PercentagePatients
Stroke	EndPointDescription
Humalog	Drug
Preservative-Free_Latanoprost	Drug
Subcutaneous	DeliveryMethod
NPH/regular70/30	Drug
PulsatileOcularFlow	EndPointDescription
Metformin	Drug
Kg_per_squareMeter	BioAndMedicalUnit
InsulinDegludec	Drug
Glucose	EndPointDescription
Week	BioAndMedicalUnit
Carteolol	Drug
Australia	Country
Iran	Country
USA	Country
ReducedPulseRate	EndPointDescription
AvgAge	Age
Int_Unit	BioAndMedicalUnit
SdErrorDiff	SdError
SdErrorResValue	SdError
Glimepiride	Drug
Constipation	EndPointDescription
Ocular_Itching	EndPointDescription
ReducedBloodPreasure	BloodPreasure
Dorz/TimFC	Drug
mmHg	BioAndMedicalUnit
Acarbose	Drug
Lat/TimFC	Drug
AngleClosureGlaucoma	DisorderOrSyndrome
Egypt	Country
PostprandialPlasmaGlucose	EndPointDescription
HeartFailure	EndPointDescription
Secondary_AngleClosureGlaucoma	DisorderOrSyndrome
Georgia	Country
Kg	BioAndMedicalUnit
Linagliptin	Drug
Male	Gender
Aspart70/30	Drug
Philippines	Country
Glaucoma	DisorderOrSyndrome
Nateglinide	Drug
Diazoxide	Drug
Allergy	EndPointDescription
JointPain	EndPointDescription
Brimonidine	Drug
Afternoon	RelativeTime
IntUnit_per_Kg	BioAndMedicalUnit
Bima/TimFC	Drug
Methazolamide	Drug
AnyGender	Gender
Apraclonidine	Drug
PerProtocol	CTAnalysisApproach
WeightGain	EndPointDescription
Oral	DeliveryMethod
PValueBL	PValue
BodyWeight	EndPointDescription
Dapagliflozin	Drug
PValueResValue	PValue
SdErrorNumAffected	SdError
mg	BioAndMedicalUnit
Liraglutide	Drug
BloodPressure	EndPointDescription
OralDryness	EndPointDescription
Mexico	Country
BloodVelocity	EndPointDescription
Crossover	CTDesign
ConfIntervalDiff	ConfInterval
MilliUnits_per_litre	BioAndMedicalUnit
Eyedrops	DeliveryMethod
Cabergoline	Drug
BloodGlucose	EndPointDescription
Increment	ChangeValue
Saxagliptin	Drug
TimeUnit	BioAndMedicalUnit
Taiwan	Country
Bromocriptine	Drug
Peak_IOP	EndPointDescription
HeartRate	EndPointDescription
Italy	Country
IOP_target	EndPointDescription
FastingPlasmaGlucose_target	EndPointDescription
FastingPlasmaGlucose	EndPointDescription
Sulfonylureas	Drug
NPH/regular50/50	Drug
Secondary_OpenAngleGlaucoma	DisorderOrSyndrome
Stinging	EndPointDescription
Canagliflozin	Drug
PigmentaryGlaucoma	DisorderOrSyndrome
DoubleBlind	CTDesign
PulseRate	EndPointDescription
OpenLabel	CTDesign
Venezuela	Country
Implant	DeliveryMethod
Inhalation	DeliveryMethod
PremixedInsulin	Drug
Israel	Country
InsulinDetemir	Drug
Pioglitazone	Drug
Pain	EndPointDescription
Brinz/TimFC	Drug
LeastSquaresMean	AggregationMethod
Lispro	Drug
GeometricMean	AggregationMethod
OcularHypertension	DisorderOrSyndrome
Caucasian	Ethnicity
Lixisenatide	Drug
Germany	Country
SdDevDiff	SdDeviation
DiffGroupRelValue	DiffGroupValues
Poland	Country
PvalueDiff	PValue
Anemia	EndPointDescription
Millimoles_per_litre	BioAndMedicalUnit
IntentionToTreat	CTAnalysisApproach
OpenAngleGlaucoma	DisorderOrSyndrome
Vildagliptin	Drug
RelativeIncrement	RelativeChangeValue
UK	Country
NoChange	ChangeValue
Greece	Country
PValueNumAffected	PValue
Brimo/TimFC	Drug
RelativeReduction	RelativeChangeValue
NumberPatientsArm	NumberPatients
OralAntidiabeticAgent	Drug
HeartAttack	EndPointDescription
Gram	BioAndMedicalUnit
Unoprostone	Drug
Vehicle	Drug
BAK-preserved_Latanoprost	Drug
Morning	RelativeTime
MealGlucoseResponse	EndPointDescription
Trough_IOP	EndPointDescription
Mean	AggregationMethod
Betaxolol	Drug
Colombia	Country
Omarigliptin	Drug
FastingBloodGlucose_target	EndPointDescription
SouthKorea	Country
MicroUnits_per_milliliter	BioAndMedicalUnit
HbA1c	EndPointDescription
Colesevelam	Drug
SevereHypoglycemia	EndPointDescription
Second	BioAndMedicalUnit
Trav/TimFC	Drug
Bedtime	RelativeTime
Year	BioAndMedicalUnit
NumberPatientsCT	NumberPatients
FinalNumPatientsArm	NumberPatients
Exenatide	Drug
Dorzolamide	Drug
